quota_index,project_id,total_correspondentes,expected_completes,country,1,16,17,19,2,25,27,profiler1010740,profiler1010744,profiler1010745,profiler1010852,profiler1011135,profiler186,profiler282,profiler702,profiler9
88,155457,0,300,3,18-30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,155457,0,300,3,18-30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
90,155457,0,300,3,31-40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,155457,0,300,3,31-40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
92,155457,0,300,3,41-50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,155457,0,300,3,41-50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
94,155457,0,300,3,51-60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,155457,0,300,3,51-60,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
96,155457,0,300,3,61-99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,155457,0,300,3,61-99,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
98,155514,0,11,7,18-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,155514,0,8,7,18-24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
100,155514,0,3,7,25-34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,155514,0,3,7,25-34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
102,155514,0,8,7,35-44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,155514,0,11,7,35-44,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
104,155514,0,8,7,45-55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,155514,0,3,7,45-55,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
106,155514,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,155514,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
108,155514,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
109,155514,3,21,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
110,155514,3,19,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
118,155525,0,54,7,18-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,155525,0,6,7,18-24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
120,155525,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,155525,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
122,155525,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
123,155525,5,22,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
124,155525,3,21,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
125,155515,119,481,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,155515,119,481,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,153565,14,86,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
128,153565,10,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
129,153565,22,78,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
130,153565,10,90,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
131,153565,2,98,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
132,155669,0,310,1,18-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,155669,0,300,1,31-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,155669,0,450,1,46-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,155669,0,150,1,66-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,155669,267,338,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,155669,338,267,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
138,155669,8,112,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,155669,111,39,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,155669,36,84,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,155669,14,86,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,155669,27,73,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,155669,12,188,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,155669,8,62,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,155669,26,74,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,155669,73,57,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,155669,37,33,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,155669,156,44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150,155669,139,221,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
151,155669,167,183,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
152,155669,110,40,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
153,155669,33,117,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
154,155637,6,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
155,155223,0,400,15,18-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
